path	trees	sha256	lines	reason	text_hits
Grass/Assembly/SourceImportBindings.lean	main,certificate,frontend,lowering,windows,process	2cb31d96f56df684c063d435122412e5b9fd1f3d19387bacc3208ba12afd4098	200	semantic-boundary-or-consumer	0
Grass/Assembly/SourceImportRequests.lean	main,certificate,frontend,lowering,windows,process	4468412d5b3ea002ef77f7bae2040b34e0067efdf4954f9f8475f50bfd230a9a	160	semantic-boundary-or-consumer	0
Grass/Assembly/SourceInitialization.lean	main,certificate,frontend,lowering,windows,process	c027a80eec05507c22cccdd2b792479fbd995a854f352d29977d0d6303342f89	134	semantic-boundary-or-consumer	0
Grass/Assembly/SourceInput.lean	main,certificate,frontend,lowering,windows,process	56136a9eeb6009e06f5d204919eab2a82ce7b839856d058888041fecf3118558	191	text-match	9
Grass/Assembly/SourceLinkedImage.lean	main,certificate,frontend,lowering,windows,process	52e208f8dfacde6c6f71f2e0c23cb02bfd1dec38273324ba55709918ea4d808c	290	semantic-boundary-or-consumer	0
Grass/Assembly/SourceLoadedImage.lean	main,certificate,frontend,lowering,windows,process	d1cf8b1930391de513575787d0a4455418e6e00f6f6900ce3524d0b3a36ea450	151	semantic-boundary-or-consumer	0
Grass/Assembly/SourcePrologue.lean	main,certificate,frontend,lowering,windows,process	63dda87e8e362f9aa18768af8078ceec7bcf1b7ef68ac0b56182e80e5789e14e	137	semantic-boundary-or-consumer	0
Grass/Assembly/SourceResolve.lean	main,certificate,frontend,lowering,windows,process	c96a2b345d2deca5d7a9b6dca40caca8262ca49db10f37a72a4bafdd6c1da9b4	226	semantic-boundary-or-consumer	0
Grass/Assembly/SourceRuntimeFunction.lean	main,certificate,frontend,lowering,windows,process	6b056ea6817faa602841a3ac20fcd21ae9de2be179e75f059618855ce6509c51	42	semantic-boundary-or-consumer	0
Grass/Assembly/SourceSplice.lean	main,certificate,frontend,lowering,windows,process	47fb76c9b2825f8a7916f4bd178fb406bf833ddc8deb4c085a23ddaee511cea2	424	semantic-boundary-or-consumer	0
Grass/Assembly/SourceSpliceDecode.lean	main,certificate,frontend,lowering,windows,process	462a9289800b7e799fc31a018a5c828b3502929976716859b0cb29e87a12920a	160	semantic-boundary-or-consumer	0
Grass/Assembly/SourceStaticBindings.lean	main,certificate,frontend,lowering,windows,process	a0bc4b776083cdd6d68a0712ab5a8e98d842db1b41764d7ef3d1a6b9e623e231	72	semantic-boundary-or-consumer	0
Grass/Assembly/SourceStore.lean	main,certificate,frontend,lowering,windows,process	86140f267873503363b81b61eeb957651c53abdb3a65c8bef41b670e9e18aae8	96	semantic-boundary-or-consumer	0
Grass/Assembly/SourceTemplates.lean	main,certificate,frontend,lowering,windows,process	3c994550a4cf26d420b98cee3dc5594dcebfc8ee59db37a2063e87e306005fbc	211	text-match	1
Grass/Assembly/SourceUnwind.lean	main,certificate,frontend,lowering,windows,process	819027eb2021d10167e3d580b00284a92bfb08e2edf72be8eac2534e4d02a068	47	semantic-boundary-or-consumer	0
Grass/Assembly/SourceUnwindPrefix.lean	main,certificate,frontend,lowering,windows,process	4b17226ff44d148ad13b262b071172babeb899aa2b80e3b88f922cb7d0f33a5c	206	semantic-boundary-or-consumer	0
Grass/Assembly/StaticObjects.lean	main,certificate,frontend,lowering,windows,process	8ee746d335d15a0bb7db5711d7e2f492bccd66d40ef46eacedf88d67b15255cb	134	semantic-boundary-or-consumer	0
Grass/Assembly/StaticSection.lean	main,certificate,frontend,lowering,windows,process	f345390da15dec3f79e44b3401e9c6ef117481584f8704d9f57f61740cffbb0f	167	semantic-boundary-or-consumer	0
Grass/Assembly/StaticSectionPacking.lean	main,certificate,frontend,lowering,windows,process	2ee357ae4335642260a500707251221fd36b4cb1ede3dab4ab870848d169a0ac	194	semantic-boundary-or-consumer	0
Grass/Assembly/Store32.lean	main,certificate,frontend,lowering,windows,process	8f5a97e6131c401b29311ba897beadce81a8edb829a1c48a46a24a311b737af1	134	semantic-boundary-or-consumer	0
Grass/Assembly/Store32Addressing.lean	main,certificate,frontend,lowering,windows,process	65e1454c8c61b22c1d1c9ec6b69ff00389f6eaee092566f6484a4063ceae6668	53	semantic-boundary-or-consumer	0
Grass/Assembly/Store32Execution.lean	main,certificate,frontend,lowering,windows,process	d7e8bb4ea2c3f0e598787df032e1a53e357d8c217f260905f05b31cecf5bee19	121	semantic-boundary-or-consumer	0
Grass/Assembly/Win32Constants.lean	main,certificate,frontend,lowering,windows,process	bf8949438924cdedd496460011eb6ed2967d02c120874e2e984fcd332f6c9ba2	138	text-match	1
Grass/Assembly/X86BranchLayout.lean	main,certificate,frontend,lowering,windows,process	e463c6042e9a3253cc6c0304a64e1ec79b04cf3fc7cffbfcfca8f1a94581eb6a	262	semantic-boundary-or-consumer	0
Grass/Assembly/X86ClosedEncoding.lean	main,certificate,frontend,lowering,windows,process	2ab78cb36a2fbb0bbe254718bb51642cc2523c4b8359aa8b08805e38a9fa88fb	118	semantic-boundary-or-consumer	0
Grass/Assembly/X86ControlFlow.lean	main,certificate,frontend,lowering,windows,process	a8782f32457247a5a8ca0fdfc071f4e209d605e8275d26fd6a54e854f775cd72	161	semantic-boundary-or-consumer	0
Grass/Assembly/X86Source.lean	main,certificate,frontend,lowering,windows,process	1a5650a8fdec63baa5b8ddf8b0d90185d410e3fb1386ae5ca5fb89468b9cdc6a	257	text-match	1
Grass/Console/Accounting.lean	main,certificate,frontend,lowering,windows,process	9a1b3c6edd732aca48830c5ab505f16ee1e10afc0415068162261bee1182d136	109	semantic-boundary-or-consumer	0
